UserId,Location,Rating,Headline,Review,Date,Value Rating,Food Rating ,Service  Rating ,Atmosphere  Rating 
Muffarah M,Seaford,5,Charming,"Pretty authentic Italian place, not very big but the first thing you see as you enter is a huge wood fired pizza oven just behind the hostess who takes you to your seat. The tables are arranged for 2, or 4 and there are booths lining the side for 4 or 6, some are curved. The service is great, they keep a close watch on you and do not forget you, food is brought at the right intervals, the napkins are cloth although the tables are bare. It is a nice place with a good vibe, lots of people relaxing and eating and enjoying each other's company. It gets pretty busy at dinner time all of a sudden, and seating is limited so reservations would be highly advised.",7/25/2017,5,5,5,5
MNBMac,Fairfax,5,Fresh Pasta & great Wine,"If you like freshly made pasta and smooth Italian wines this is the place.  Pasta is delicious; fresh, earthy and tasty.   Freshly made makes all the difference.  And I always get a smooth Montepulciano house red wine.  Perfect combo.",7/13/2017,4,4,4,4
cadamsesq,San Francisco,4,Good pizza in casual Italian restaurant,"This fun, quirky place makes good pizza.  It has an authentic Italian feel, with murals on the wall, and a fun pizza oven (see pic).  The bruschetta appetizer was good, and the pizza was very tasty.",6/29/2017,4,4,4,4
Joseph C,Flat Rock,5,Special Place,"When you take your mother in law out for her 86th birthday you want to go to a special place.

Dolce Vita was that special place. The food and service is something you can count on being first class. We were not disappointed.

Our waiter has been there for 19 years. That should say a lot about the quality of this restaurant.",6/24/2017,4,4,4,4
TravelNow61,Orlando,2,Not the same,"Since the ownership has changed this place is not the same.  Had the grilled calamari and it was bland, no seasoning prior to grilling.  Main course were uninspired. They are a wine bar but were out of the wine I ordered.  Offered an other bottle that was good, but should have given me a more expensive one for the same price.  Wonlt be going here again.",6/20/2017,1,2,2,2
FrankS,Maiden,5,Fantastic food and service.,"Had dinner tonight at this establishment. Great, friendly service and delicious Italian food. Started with the mussels and  followed with the pappardelle pasta with a ragu sauce. It was terrific. Jose my server was extremely efficient and helpful. Great ambiance and the entire staff seemed concerned with the quality of my meal. I will return.",6/18/2017,5,5,5,5
Rmangian,Fairfax,5,Drinks and dinner,"The house chianti is absolutely phenomenal! They have gluten free pasta, which is great (and rare) for my wife that tastes wonderful. Their meatballs and sausage pasta was very flavorful and cooked perfectly! Highly recommended",6/13/2017,4,4,4,4
Edwin M,Springfield,5,Best neighborhood Italian cuisine in Fairfax!,"For years Dolce Vita has earned a great reputation for serving fine Italian food in a warm and friendly environment . Any of the pasta dishes will delight you! Their lasagne,fettuccine Alfredo and home made meat or cheese ravioli are outstanding. I love their broiled calamari for appetizer and house salad with vinaigrette. Meals are accompanied by a great crusty Italian bread and their choice of house wines are a great value. They do offer a nice selection of wines. Don't leave without trying their tiramisu or fresh filled cannolis and a cup of cappuccino ! Great quality,value and consistently efficient service.",6/6/2017,5,5,5,5
Jane G,Washington DC,5,A Sure Bet!,"Even though we live about five miles from this restaurant and have passed it hundreds of times, its site off Lee Highway and unimpressive look did nothing to encourage me to try it. 

So, it was more than a pleasant surprise when we stopped in about six months ago, needing a quick dinner, and discovered a place that obviously has many loyal customers as well as excellent food and service.

Our only disappointment was that we were in a rush and couldn't sit and savor the meal. So, we went back yesterday with the intent of having a leisurely dinner and really enjoyed ourselves.

We started with the gamberi cinque terre, shrimp stuffed with fontina cheese, wrapped in bacon, and topped with lobster sauce--delicious! I had a soft shelled crab over linguini, also out of this world, and two others had fettucini or fettucini carbonara, which they raved about. Dessert was also excellent. 

This is an old-fashioned Italian restaurant with all the traditional favorites in addition to more updated dishes. 

It's a friendly place where families are welcome yet sophisticated enough for singles and couples. 

We talked about going back to try some of the other dishes. They all sounded delicious . . . and I'm sure that they are!

Try it . . . you'll like it!",6/4/2017,4,5,5,5
Arapahoetravel,Littleton,4,Excellent Food and Service,"I enjoyed a delicious dinner here while in Fairfax.  My server was very knowledgeable and assisted me to chose a good wine and nice pasta dish.  I also enjoyed a great cappuccino and chocolate desert.  It is a bit over priced, but the food is good. I highly recommend this restaurant for a special dinner.",6/2/2017,2,5,5,5
KMortYoung,Clifton,5,Always a great experience!,"We have been coming here for years to the restaurant and the wine bar.  The staff is very friendly and we have never been disappointed with the food.

I have friends who visit from out of state and a stop here for their pizza cones and wine is a must do on each trip.  All their dishes are delicious, the wine bar has happy hours with a good selection of beverages and appetizers.

We recently held a fund raising event here and were able to introduce more people to Dolce Vita.  All had positive comments and enjoyed the evening.  Our thanks to all here for being so accommodating!  You are the best.",5/31/2017,5,5,5,5
Dwaine H,Unknown,5,Great Italian Food!!!!!,"We visited this restaurant twice while in Fairfax. The staff was very cordial, informed, and provided excellent service. I will recommend this restaurant to everyone.",5/22/2017,4,4,4,4
Fabian M,Tucson,1,Where can I start?,"We called ahead to make sure there was a table. They told me I needed a reservation so I reserved. Got there and the hostess was kind of staring at us like we had committed a crime. She then, with an empty restaurant, manage to find the smallest table available. 

I thought, OK, place will get packed soon. We ordered calamari....wow. It was tasteless and odd. I have never seen grilled calamari and not breaded and fried. Then we ordered Veal Marsala. Another disappointment ....it was like noodles and veal in a very liquid tasteless marsala sauce. We finish dinner and there were still 60% of the restaurant empty. Waiter was attentive and awesome. He is the only thing this place has going for them.  Pretty sad experience.",5/19/2017,4,4,4,4
Donna S,Silverthorne,4,Wonderful dinner,Dinner was great had veal and is was so tinder & sauce lite. One person had to have  Guillen free food and had several choices. Service was good & people friendly.,5/17/2017,4,4,4,4
LoveToTravel30226,Alexandria,5,Wonderful food,"This was our first visit to Dolce Vita, and we look forward to returning. Our waiter was from Venice and was very friendly and helpful. He recommended an excellent Chianti wine, and brought fresh bread and olive oil. We all appreciated that he then stepped away to give us plenty of time to talk and decide what we wanted to eat. We all had homemade pasta, and it was excellent - three of us had papparadelle (two with ragu sauce, one with Bolognese sauce), and one had ravioli with pesto sauce. Everything was tasty, flavorful and hot from the kitchen. We didn't have room for dessert, but we'll be back. It was quite crowded by the time we left, and it gets loud with everyone talking, but it added to the atmosphere. The parking lot is quite small, but they have a free valet service, which we used. There is also a wine bar next door, so if you arrive early for your reservation, you can pop in and have a pre-dinner glass of wine.",5/16/2017,4,5,4,5
rogerdc78,Washington DC,4,"Great Italian, Unassuming Location","While I grew up in the area, I had passed by this restaurant many times without trying it. When my in-laws were in town recently, they stayed at the Hampton Inn next door, tried it for dinner, and took us back anothet night to celebrate my birthday. The food was fantastic and reasonably priced for a sit down Italian restaurant. Service was decent. The restaurant was extremely busy on a Friday evening. I could see this being a great place for a quieter date another night of the week. We had a mix of pasta dishes and pizza. The only drawback is that parking is valet only.",5/15/2017,4,4,4,4
Diana T,Middletown,5,Best Risotto,"My husband and I attended GMU Arts Center's concert last night and before that made last minute reservations at Dolce Vita. We lived in the area a number of years ago but never went to Dolce Vita.  Wow, what a find!  It's fabulous.  Loved the ambiance and the food was fantastic.  We both had the shrimp risotto and it reminded us of the best we had in NYC.  Thank you!",5/13/2017,5,5,5,5
Jim D,Locust Grove,5,Supreeeemo,Very traditional Italian cuisine freshly made and very tasty.  A nugget we found in the busy urban area of Fairfax in business for over 20 years.  We had the Fetuccine ai Fruitii De Marie (seafood) and the Filet Mignon. So delicious!!!!  Service was friendly and attentive. One would only have to close their eyes and arrive in Italy.,5/2/2017,4,4,4,4
Greg P,Pine Grove,4,Great food,Walked here from our hotel.  Food was very good.  Service was a little slow.  Portions were not quite what I expected.  Overall a good experience,4/30/2017,4,4,4,4
Gayle H,Unknown,5,Great Italian Food,"Small friendly restaurant with excellent Italian food and chianti. All four of us enjoyed our entrees and the chianti. I had the fettuccine with shrimp, scallops, lump crab meat, and portobello mushrooms which was cooked to perfection. It is highly recommended to make a reservation, because they get very busy and it is a small restaurant.",4/29/2017,4,4,4,4
Thomas A,Unknown,5,Dolce Vita,"One of the best restaurants in Fairfax. The wood oven pizza is excellent! The rest of the menu is delicious as well. Great service by all the staff. I try to eat here whenever I am in Fairfax, the food is that good!",4/17/2017,5,5,5,5
D M,Unknown,5,Dolce Vita Italian Kitchen and Wine Bar,"One of the members of our party made reservations at this restaurant which is a good thing because space is limited.

This was my first visit here and I'm happy to say I was not disappointed. I had the fettuccine alfredo with chicken and it was delicious 😋🍝. 

They make their own pasta fresh and I loved the wood burning oven they have as soon as you walk in.

I love trying new restaurants and I love Italian so this one is definitely a five-star from me. 

Actually everyone in my group enjoyed their meal immensely.

The service and the atmosphere was also on point (gold star⛤)

Large portions, the picture below are my leftovers.",4/15/2017,4,4,4,4
Warner B,Midlothian,5,Once a Year Treat,"We are in Fairfax once a year and always plan a meal to this Italian treat. This year made special by a joint celebration of an anniversary and birthday. Great meal starting with shared grilled calamari and a capreze salad. Entrees were excellent and my whole fish, bronzino, was especially well prepared and fresh. A nice wine at $29 complemented the meal. Very excellent service.",4/10/2017,5,5,5,5
gwendolynkwilliams,Woodbridge,5,This is a great little find for those who want Italian food.,"Very nice accommodations, easy to get into and the wait staff is great.  The portions are more than generous.",4/10/2017,4,5,5,5
Kathleen R,Fredericksburg,5,Great neighborhood trattoria,We've been dining here for over 20 years!  We enjoy the food. The same staff has worked here for years and we love seeing their familiar faces. Cozy atmosphere. Good wine selection. Fair prices.,4/9/2017,4,4,4,4
slugger34,Fairfax,5,Dolce Vita,"Great Italian.   Very comfortable place, not too loud, and friendly efficient servers.
This is a regular for us, we go at least once a month.",3/12/2017,5,5,5,5
mikelynxx,Manassas,5,Loved this place,"My wife and I stopped in on a Thursday night.  Not real busy and the service was prompt.  We had heard good things about this place and boy were they right.  Good wine choices by the glass.  We shared a nice ceaser salad.  Pizza was on our mind as we saw their wood fired oven.  Awesome crust, great sauce and fresh ingrediants.  We saw some wonderful pasta dishes being delivered to other tables.  Very reasonable prices.  We truly enjoyed our meal here and can't wait to return to try the pasta!",2/18/2017,5,5,5,5
David C,Burke,2,Go Elsewhere for a Good Italian Meal,"This had to be one of the blandest Italian meals I've had in years.  First off, the Mozzarella Caprese starter was terrible.  The mozzarella was old, rubbery and tasteless.  The ""vine ripe tomatoes"" were not.  Both our pasta dishes were luke-warm and also tasteless.  Maybe the cook passed various Italian spices over the pots where the sauces were cooking; unfortunately, none fell in.  On the plus side, the service was quick and efficient and atmosphere was nice. The restaurant was crowded.  Based on our meal, I can't imagine why.  We won't be adding to the crowds there again.  There are numerous good and very good Italian restaurants in the northern Virginia area, I'd recommend one of those before going to Dolce Vita.",2/17/2017,2,2,4,2
mattgoing,Unknown,5,Bday dinner,"Off the charts excellent!!!
We will be back, family dinner for a birthday, visited by the head chef.  His specials were beyond special; great food, great wine, great time , and all at a great price point. Go to Dolce Vita!",2/16/2017,4,4,4,4
Tania M,Fairfax,3,Home made pasta needs to be reviewed,The pasta they make in house is way too thick for their clams dish Theyneed to turn it down a notch - also the pasta is way over cooked.  This has not been the same since it was recently taken over.   We had NO complaints in the past.  If they can adjust the pasta thickness and cook it correctly they are in a win win situation,2/15/2017,3,3,4,3
Jack S,Fairfax,4,"Very good food, decent price","Not the best location since it's near the car wash and some semi-industrial operations. But for the most part you can park nearby so it doesn't make much difference. But the menu is good if you like traditional Italian. Try the veal and spinach cannelloni, delicious. Plus some good new takes on traditional shrimp entrees. Fair prices for original treatments of traditional Italian fare.",2/12/2017,4,4,4,4
SKHRP,Denver,4,Great Italian Food,"A group of friends have an annual tradition of meeting for lunch around the holidays. We always enjoy good food, right sized portions and attentive service.",2/12/2017,4,4,4,4
Kylenova,Unknown,4,Wine and gnocchi are the best,"The location isn't the best (in kind of a seedy part of town) but the service is impeccable. Our server was attentive, warm and very accommodating to the food allergy of one of our party. 

If you're looking for a suggestion on what to order, the gnocchi was delicious, and their wines are all stellar.",1/24/2017,4,4,4,4
anakarerina,Reston,4,Best Gnocchi in VA! At least in NOVA,"I have absolutely nothing bad to say about this place. Service and the manager was wonderful. I believe he was from Napoles, Italy. Is always packed, would recommend reservations, but if not you can wait at the Ciccheti bar. 
They also have a great wine selection and specials.

The location, might not be the most attractive place, but is definitely worth to go check out for great Italian food without having to go all the way to downtown DC.",1/11/2017,4,5,5,5
Hospitality Expert,Lake Mary,4,Wonderful Southern Italian,Eight for dinner. Private party at same time. Service not great. Wonderful staff. Food is very good. Portions are good size. Shrimp marinara over linguine is spicy. Salmon good. Rock fish very good. Would go back and recommend to all. Reasonably priced.,12/16/2016,4,4,4,4
pmurphy2016,Fairfax County,5,Great Go-To Italian,Great Go-To Italian near Fairfax. Wood-burning oven plus all of the Italian standards served perfectly by a great staff. Small restaurant so booking is essential.,12/15/2016,4,4,5,4
Cynthia F,Toronto,5,Some of the best Italian Food I've Had,"I've been to Dolce Vita a few times - when I'm visiting the area for work.  The food is exceptional, with a varied menu.  Service is quick, efficient and unobtrusive.  My most recent visit was a business dinner for 6 people, and we had a nice table in an alcove in the back.  Various members of our group ordered the pizza margherita, salmon with seasonal vegetables, penne arrabbiata and lasagna.  Everyone enjoyed their food, and portions were large enough that a few people took home leftovers.",12/12/2016,5,5,5,5
Michael M,Leland,5,The first thing you notice,"Is the smell.  We looked at each other and said, ""Are we back in Italy?""  Shared an appetizer (wonderful cheese) and entree, butternut squash ravioli with dried cranberries, fresh arugula, grilled chicken all in a creamy sauce.  Just marvelous.  Topped off with tiramisu which is prepared in an individual ceramic dish.  We were a bit early so seating was no problem.  Service was attentive but not hovering.  Will definitely return on our next trip to Fairfax.",12/10/2016,5,5,5,5
john b,Flagstaff,5,Excellent Italian food,"The food, service and price were all excellent. I had house made fettuccine with spinach, goat cheese and pine nuts. All excellent and infused with just the right amount of garlic.",12/7/2016,4,4,4,4
NSole,Fairfax,4,Return of the old favorites!,This is not a new face in Fairfax! Dolce Vita has survived when most of its competition have lost their footing. Even lunch service delivers a quality product for a practical price.,11/13/2016,4,4,4,4
D1279IDcindym,Atlanta,3,Dinner,The service was a bit lacking and the food was just ok. The parking was a nightmare and we had to wait on a table when we noted there were several empty!,10/31/2016,4,4,4,4
jim7946,Oakton,5,a sleeper,This is an unassuming place that surprises you with great food and great service - they have all your favorites,10/27/2016,5,5,5,5
Virgil D,Unknown,5,I was planning to come back. ..,I had a wonderful potato gnocchi dish :) the little gnocchis were so soft. The pink creamy sauce was mildly tangy and sweet and really memorable. Also those sundried tomato slices plus the toasted pine nuts gave the dish a great texture. You're gonna love it. :),10/21/2016,4,4,4,4
djfr541,Talent,5,On Point Authentic,"Looking for the real deal? Here it is.   I always look forward to sitting down to the table here.  Count on it for great service, a very solid wine list, fantastic wood fired oven - thin crust pizza's, and the pasta dishes you crave when you think authentic italian.  I always leave here satisfied, if not slightly euphoric, after experiencing what I come to love about true Italian cuisine. The excellent service and cozy environment rounds out the experience nicely.",9/14/2016,4,4,4,4
Pauline D,West End,5,Italian,"Fine dining at reasonable prices.lasagna was delicious, as were appetizers. Nice glass of wine was recommended and perfect  for the meal.",9/10/2016,4,4,4,4
aacueva,Unknown,4,"Disappointed ""late""? lunch visit.","Visited for lunch this past Friday. It must have been 2pm when we arrived, not noticing that the unobstussive lettering on the front glass announced that the restaurant closed at 2:30 and reopened at 5pm. There was a table of 3 and a table of 2 being served when we came in and another couple walked in after we had been ""sitted"".
We were disappointed at the limited menu, limited pasta sauce offerings, this been an ""italian"" restaurant. The ""flat"", unexpressive waiter did not add to any possibility of a pleasant lunch, nor his insistence to settle the bill, most likely because was ""after hours"", after 2:30pm, and he wanted to ""leave the place"" or lay down on the corner stool bench and go to deep sleep. We left. Nobody said goodbye or thank you.",9/10/2016,4,4,4,4
KDI2013,Washington DC,3,"Good but not great, inconsistent","As others have said, it is small, a little noisy, but what ""bothered"" me was the busy black line drawings on the walls, very stark, could have used the softening of (fake, even) hanging green plants, a mirror or two....
'Nuf about that - the food.... I enjoyed the bruschetta, but I wish they had toasted the bread slices before they put on the tomatoes and cheese - it was very soggy, and I don't remember soggy bruschetta in Italy.  However, my husband's appetizer was the shrimp wrapped with bacon and a balsamic drizzle - very good!
However, his main dish of Veal Parmigiana was the same old, same old...little tough, overcooked - perhaps they do better on items that are not run of the mill, because my Veal Piccata was really good.
My husband's tiramisu for dessert looked good, but I was stuffed.  I might go back, he says he wouldn't.  But I think some of their dishes can be good, give it a try!
Warning, don't bring the sports car if you don't want it valet parked.   :)",9/9/2016,3,3,4,3
Maureen R,Ashburn,5,Gem of a restaurant!,Excellent dinner and service!  I found this restaurant by luck. Definitely all the reviews are spot on. Best Italian food you will find in the area.  Wines and desserts fantastic!  They have a private room and we're planning a function next spring in the room.  I know it will be amazing!,9/2/2016,4,4,4,4
Lesley S,Colorado Springs,5,Try the seafood fettuccine!,"We went out to dinner with a friend that grew up in Fairfax, who raved about this place. It's a small, intimate restaurant and we really, really enjoyed it. They serve a spongy homemade bread at each table with an olive oil-Parmesan dipping combo which is so good that you don't even care that you're going to fill up before your food arrives. 

I had the seafood fettuccine that was the best fettuccine I've ever had! It had huge jumbo shrimp, scallops, and crab meat with just the right amount of cream sauce. Divine. 

My husband had a grilled chicken pizza which was good, but not wow worthy. I'd say stick with the pasta dishes!!",8/30/2016,4,4,4,4
Louis G,Selbyville,4,Great traditional Italian food,"Tried and true and tremendous. Great red sauce, pasta, salads. Make sure to try a glass of one of the many Italian reds. Reasonable and far better than anything you will get by the glass from California. Did I mention the muscles? Awesome.",8/26/2016,4,4,4,4
Jen H,Oklahoma City,4,Surprisingly Good,Stumbled upon this gem as we were stuck in traffic. The wait staff was attentive and we both enjoyed our meals. I recommend the meatballs!,8/24/2016,4,4,4,4
Beekuz,Reston,5,Really Surprisingly Good Italian Food,"We've had to be thrifty lately so when we go out to eat we don't like to be disappointed. Also being from New York, the bar for Italian food is quite high and I've been disappointed with the food in Virginia overall. I ordered the Veal Marsala, which is my benchmark dish for good Italian Cuisine, and it just melted in my mouth. The sauce was great and the veal was tender. My wife and Son also had great dishes, my Son had a Seafood Fettuccine Alfredo dish which I tried and really liked, even though I'm usually not a big fan of cheese sauces. Even the extra virgin olive oil served with the bread was great. The only regret I have is not saving room for dessert. We'll definitely be going back when we have that craving for good Italian food. Really interested in trying their wood fired pizza next. I hope you enjoy and get there early since parking is probably the biggest downside of the location.",8/9/2016,5,5,5,5
capandrews,Fayetteville,4,Authentic Wood Fired Oven,This restaurant has an authentic Tuscan feel. The focaccia bread appetizer reminded me of a pizza shop in Lucca. The portions are large so eating alone means you should probably skip the antipasti. I very much enjoyed the experience and will return.,7/26/2016,4,4,4,4
Patty L,Fairfax,4,Consistently good,"This is my husband's and my favorite place in Fairfax. We've had pizza, pastas and salads and all have been delicious. The service is very good too.",7/24/2016,4,4,4,4
TMVoight,Washington DC,5,Great place,"Visited this restaurant Saturday evening at six, didn't know what to expect but was really impressed with both the service and the food. Angel was our server and he did a superb job of being there when you were ready to order or needed a refill. They have Gavi by the glass which really pleased my wife. We had a calzone which was delicious and made for a perfect evening.",7/16/2016,4,4,4,4
Beth C,Unknown,4,Nice surprise for dinner,The food was very tasty. I recommend the eggplant parmigiano.  Great portion sizes and attentive staff.,7/13/2016,4,4,4,4
jcrummie,Unknown,5,OMG,"It doesn't look like much from the outside but don't let that fool you.  Walk into a quaint Italian atmosphere where everything is outstanding.  Service is spot on and the food is DELICIOUS, OUTSTANDING.  calamari veal pasta chicken bread - nothing but excellent!  Will definitely return.",7/9/2016,4,4,4,4
Sherri J,Taylor,5,Great Italian food,"I met a friend here for dinner after it being recommended by hotel staff. 
Absolutely wonderful food.  Staff friendly and helpful. 
Look forward to another great meal there.",7/2/2016,4,4,4,4
ivytravel,Fairfax Station,5,Very Nice Lunch,Stopped here when they opened at 1:30 for lunch. Picked out some of the items to share. The Pasta E Formaggio was excellent! Also thoroughly enjoyed the baked breaded shrimp. The Risotto Mushroom was our least favorite but still good. Nice half bottle of chianti and excellent service while seated outside equaled a very pleasant experience and a return trip in the future for their happy hour prices that start at 4PM.,6/29/2016,5,5,5,5
paolabbg,Unknown,5,Fun girls night out!,"I was here to celebrate my birthday with my girlfriends.  The food is absolutely delicious, big portions and a friendly staff.  Cozy, small restaurant.  We will be back to enjoy more of their menu.",6/27/2016,4,5,3,5
tigerseye,Washington DC,4,"First visit, won't be the last","I went to Dolce Vita for the first time this weekend with Mrs. Tigerseye and one of the little Tigerseye's. Wonderful, good service, convenient location for us, and a good variety of pasta, seafood, meats, salads, pizza, and appetizers to choose from. Not so pricey as other Italian restaurants in the area. We had a 10 minute wait past our reservation time, and were seated in the main restaurant at prime time on a Saturday night. Very crowded, and the noise level is high inside due to all the tile on the walls--it was quite hard to hear our conversations, but the din dropped off as the evening went on, especially after 8:30 PM. Our waiter was excellent and gave good recommendations to little Tigerseye who couldn't decide what to order--then stuck with a salad and side of pasta carbonara. Mussels and clams we had were delicious and quite large in the appetizer portions, both served in a garlic/wine sauce that was terrific. I had veal tortellini in a fontina sauce and Mrs. Tigerseye had fettucini alfredo, absolutely delectable. All pastas are hand made on site. Only issue was the bus-men were a bit too helpful in removing plates before we finished. But we really enjoyed the visit and will be back again soon to try other entrees. Wood fired pizza oven looked really good, as did the wine bar. The restaurant is in a strip mall, so cars need to be valet parked.",6/22/2016,5,5,4,5
IdahoKid,Boise,4,"Good Food, Big Portions, Service Could Be Better","This was a family visit with 3 adults and 3 teens, all big fans of Italian food.  And, for the most of the food served, we were not disappointed. Servings were quite large and delicious.  Only slightly off note was the calamarie which was grilled, not breaded and fried, and which nobody at the table enjoyed.  Mussels, cannaloni, spaghetti alfredo and spaghetti with sausage were all excellent, even if the servings were overly generous. We were there on a weekday evening, a little on the late side, so the place wasn't crowded, but yet the service was a bit spotty.  While our orders were taken promptly and the food came out as expected, ordering a second glass of wine or getting the water glasses refilled took some waving and pointing across the dining room. Otherwise, a good experience.",6/7/2016,4,5,3,5
GregJ0hn,Camp Hill,5,Good Italian at an reasonable price,My dining mate and I found the sauces tasty -- flavorful and rich without being too spicy -- and the pasta cooked properly.  Portions were more than ample,6/1/2016,5,5,5,5
Cheryl S,Unknown,4,Yummy but pricey (to us),"Food and staff were good. Seemed to know their wines(we don't)
We were surprised at the bill and would not go there again. 
Only reason is the cost 
We thought it was quaint, Italian and romanticish",5/31/2016,4,4,4,4
Robert M,Sikeston,5,Great place!,"First time to fairfax. Had an awesome dinner. It is a diamond in the rough. Pasta very good, salads good. Caesar salad had a homemade dressing. Really good. Wine list extensive and not expensive. Overall great find. Will be back if ever back to fairfax!",5/28/2016,4,4,4,4
Gayle R Remington,Rotonda West,5,BEST Italian Cucina,This is a small but SUPER Italian Restaurant. The absolute BEST Chicken Parm I have ever had! The sauce was more sweet than acidic which suites my Reflux perfectly. The prices are consistent with most good Italian Restarants.,5/20/2016,4,5,5,5
cjbenz,Unknown,4,A Taste of Italy,"Dining here was like dining in a small, family restaurant in Italy. Staff was friendly. Service was very good with just the right interval between courses. 
For a starter we had the grilled calamari. Served in a house balsamic dressing with roasted pepper, it a had a slight smoky flavor. Nice. So often restaurants only serve deep fried calamari. 
My sweetheart had a salad with a side of shrimp. Comment here is that the shrimp was very nicely done. 
I had the spicy gamberi (shrimp) in marinara sauce. The pasta noodles looked house made but I am not sure of that. The marinara sauce was garlicky but I knew that going in. It was a great dish and would certainly order it again. 
The restaurant is smaller with murals of drawings of Italian scenes giving on a feel of Italy. 
Parking is valet but there was no valet charge.",5/20/2016,4,4,4,4
zimbak66,Nebraska City,5,Just what I needed,Came in late close to closing time service was great! Shrimp wrapped in bacon to die for. Pasta with chicken Alfredo sauce on point. Cold beer. Very good,5/18/2016,4,4,4,4
patsyannie,Unknown,2,Maybe it was a bad night,"We arrived about 15 minutes before closing after a long trip across the country.  We were told that it was near closing.  We offered to order ""to go.""  We were told ""no,"" please take a seat.  Bad mistake.  We quickly ordered a pasta and a veal piccata.  The pasta was like one from the freezer section.  The veal was about four ounces with about two cups of pasta.   No bread or salad came with the meal.  We ordered just ice teas.  When we asked about dessert, a tray of unappealing desserts were shown to us.  We were not the last ones in the restaurant, but we were in and out in about 30 minutes with a $53 bill including tip.

Maybe it was a bad night, maybe there was a kitchen problem, maybe they should have taken our offer of ""to go,"" maybe we should have gone to Burger King.   Sadly, we were thinking about bring about 10 people here for lunch during our stay.  Obviously, we went elsewhere.",5/16/2016,1,2,2,2
NickiGe,McLean,5,Delizioso in Fairfax!,"Absolutely love this intimate,  local place! The side dish for many entrees of roasted garlic pasta is pure heaven. House chianti's are always good and reasonable. Service reminds me of the Italian service one gets in Italy. All dishes are good,  as is the tiramisu. There are other fancier, more expensive Italian places but this restaurant  has great food, casual vibe and is a really good value for the quality.",5/16/2016,5,5,4,5
A10driver,Leesburg,4,Mothers Day Brunch,Great out door dining experience on the patio for brunch after church. Delicious breakfast and excellent service. The owner greeted us and made us feel very welcome. Will definitely visit again for dinner and wine.,5/14/2016,4,4,4,4
Liza C,Unknown,3,Nice Pizza,We went here for an early week night dinner and tried their pasta and pizza.  Pizza was good but the pasta was a little bland for my taste.,5/5/2016,4,4,4,4
Pjay99,Charlevoix,4,Gets Better every time we visit,"Maybe our tenth time here and another very good meal.  I had the fettuccine carbonara  and wife had the fish special.  Both were very good and it seems every time we come to this place the food gets better.  Good waiters and reasonable prices for good food, what more could you ask for!   Do note it fills up so make a reservation.  I little noisy at peak periods.",5/4/2016,3,4,4,4
Elena G,Dublin,5,Dinner,"Even though we stopped for dinner earlier than normal, the place was inviting and the food was delicious. Normally, I do not care for red sauce used on lasagna but this one was very tasty and did not have the bitterness that some red sauces do. The red house wine was very good as well and the bread was warm and flavorful. Definitely will return again.",4/28/2016,5,5,5,5
Liz F,Falls Church,4,Great Italian Eats!,"My family and I love Italian food. A friend recommended Dolce Vita to us and it did not disappoint. I first went with my dad, when he came to visit me and every time he comes back he requests a visit to Dolce Vita.  We have gone with friends as well, and everyone always enjoys their meal. I also LOVE the little wine bar next door. It has a great small plate menu and drink selection.",4/24/2016,4,4,5,4
Patrick M,Derby,3,"Good entree, average other",Great linguini & red clam sauce. Clams casino stuffing little flavor and lettuce wedge marginal.  Appetizer and salad served at same time.  Good Italian wine selection.  Good spot for a quick bite.,4/20/2016,4,4,4,4
Eileen M,Unknown,5,Delicious Italian food,Celebrated my Birthday there and had a terrific meal. Delicious appetizers that we shared.  The waiter was good & suggested we get 2 of one of them because it wasn't large.  4 of us had the Veal Chop special again with the waiter's suggestion.  Well worth the money.  Came with wonderful homemade pasta.,4/20/2016,5,5,5,5
Tanya B,Unknown,3,It was ok,"We ate here because it was close to where we were headed and it had good ratings online.  I give it a 3.  The food was ""so so""; nothing spectacular.  I ordered lasagna while my husband had veal Milanese.  

On the lasagna, I think I was expecting more freshly made products especially for the price. The noodles were not tender enough for me and the sauce just didn't do anything to add to the lasagna.  In fact, I think it they should rethink the sauce.

My husband seemed to enjoy his meal but he also commented about the quality of his meal.  I noticed that he got two nice sized.  The Attila was very bright and fresh.

The portion sizes on both meals were generous.  We also had an appetizer plate with a variety of cheeses, olives, grapes, and a couple of varieties of meat. 

The service from our waiter was fine.  He was attentive and gave an appropriate amount of attention. In general. the rest of the wait staff was ok.

The decor borders on outdated but it was still in the acceptable range.  The linens and tableware were clean and fresh.

Overall, I rate this restaurant as a 3.",4/19/2016,4,4,4,4
Richard C,Fairfax,3,Old Time Italian Restaurant,"All that is missing is the checkered table cloths.  This is your mom and dad's Italian restaurant.  All of the classics available.  We started with a very tasty version of clams casino.  Bread crumbs were a little soggy.  My wife's seafood fettuccine Alfredo was done perfectly.  My veal scaloppine was tasty but a little dry.  

Service is very good.  Atmosphere a bit lively.  Table space a little tight.",4/15/2016,4,4,4,4
"Double ""Ollie"" Winner",Riverside,5,Best Italian in Fairfax,"Everything is great/excellent. The menu is original and large, sufficient to provide unique options to a big group or keep you coming back many times to try them individually. The wine selection is one of the best in NoVa. Prices are in line with the quality and experience. This is a good place to go for a special event. Service is superb and has never let me down. Reservations should be made well in advance unless you want to eat late.",4/9/2016,4,4,4,4
